start_time,sat,supra_MeV_flux
2021-11-07T02:12:46.867,B,3598.8634239919647
2021-11-11T21:53:49.621,A,3598.834251956274
2022-01-31T14:58:05.841,A,3598.250026692009
2021-02-21T01:10:45.863,A,3597.887096344829
2021-11-05T20:47:08.925,B,3597.539586861786
2022-02-04T18:22:16.597,B,3597.4742223006606
2020-10-04T04:25:20.830,B,3597.374117152194
2021-04-18T21:32:15.946,B,3597.0082571635185
2022-01-31T05:32:10.614,A,3596.877337201794
2021-11-20T19:51:07.712,A,3595.7072824456814
2021-11-17T03:26:18.940,A,3595.5255604108447
2021-11-12T21:09:34.312,A,3595.114056169977
2021-04-18T11:22:00.127,B,3594.9594482025773
2020-10-03T23:43:45.996,B,3594.733339716318
2020-10-04T04:52:13.802,A,3594.4480909391627
2022-04-21T03:42:23.370,A,3593.389943440488
2022-06-30T01:06:11.461,A,3592.4945756713214
2020-10-11T23:48:25.121,A,3592.1181530380068
2022-03-17T10:49:55.968,A,3591.80228670609
2020-09-11T11:54:41.334,B,3590.7476207510267
2021-05-02T10:25:56.771,A,3590.329982221724
2020-10-02T22:45:53.063,B,3590.1475109792445
2021-11-12T19:36:34.919,A,3588.721947734006
2021-04-29T10:21:19.210,A,3588.3686429300105
2022-08-25T00:13:42.090,B,3587.850914749961
2020-10-03T05:02:56.290,B,3587.479155405842
2020-10-25T16:27:08.684,A,3587.4398854685605
2020-09-28T18:28:10.080,B,3587.209601288183
2021-11-12T19:36:32.019,A,3587.1981774424994
2021-11-11T01:40:56.251,A,3586.7601445841788
2021-11-13T20:23:52.228,A,3586.752337487993
2021-05-25T19:41:23.927,A,3586.46859375
2021-04-28T22:47:39.767,A,3585.8101504930173
2021-11-20T22:55:09.946,A,3585.7724572169363
2020-10-04T03:18:23.033,A,3585.232814469156
2021-11-10T00:52:18.533,A,3585.195370388599
2021-11-05T03:40:44.474,B,3584.6314001269825
2021-11-10T19:33:11.659,A,3584.5982410698266
2022-03-07T03:45:07.244,A,3583.5984270287095
2020-10-26T11:10:52.625,A,3582.6521427378593
2021-04-22T07:53:28.300,B,3582.277713804973
2021-11-10T01:34:48.559,B,3581.8592448445843
2021-11-15T01:00:46.708,B,3580.1981099989785
2021-04-25T06:06:15.191,A,3579.951538653834
2022-01-21T17:32:25.590,A,3579.0963502749664
2021-02-26T21:48:47.677,A,3577.45128809534
2022-06-06T03:21:54.271,A,3577.304248843344
2021-11-12T21:08:07.203,A,3576.5735081088305
2020-09-29T03:20:41.165,A,3575.7669483122995
2021-08-30T09:11:02.319,A,3575.676132250072
2020-10-04T03:18:40.070,A,3575.252223557406
2021-07-26T07:31:15.363,A,3574.2078785446624
2020-10-04T04:52:22.333,A,3573.984357286749
2022-08-24T23:13:46.789,A,3573.3789828118797
2021-11-11T20:21:59.422,A,3572.5990404730533
2021-04-20T04:48:19.597,A,3572.4857097750005
2021-11-05T00:34:44.410,B,3572.1935371815025
2020-09-29T01:45:31.987,A,3570.4085355125153
2021-03-19T05:12:15.864,A,3568.6567080502205
2021-07-20T02:22:43.741,A,3568.1994270345326
2020-09-26T00:30:55.789,A,3568.05007699097
2022-04-25T14:08:53.152,A,3566.2335246279404
2021-11-20T19:51:30.555,A,3565.7569531635863
2021-11-22T21:27:09.036,A,3565.0184400183052
2021-06-17T00:08:23.776,A,3564.433868036145
2022-04-21T03:41:32.225,A,3563.071116740416
2022-02-11T04:38:30.504,A,3562.8384531984548
2020-10-23T20:52:11.499,A,3562.661693764696
2020-10-28T23:38:10.671,B,3562.574293049888
2021-11-12T19:36:29.119,A,3561.887340489951
2021-11-22T19:54:52.798,A,3561.7035459174613
2021-11-22T19:55:40.992,A,3561.267418429282
2021-10-14T08:49:42.504,A,3560.6472963276433
2021-12-24T19:45:59.089,A,3559.2422316122334
2020-10-02T23:13:11.046,A,3557.947511052562
2021-11-13T21:54:53.470,A,3557.8331704662733
2021-08-29T09:54:55.986,A,3557.4653152397177
2020-10-04T04:52:09.546,A,3557.2782108161437
2022-01-21T19:04:12.898,A,3556.4773887468223
2021-04-23T09:43:56.512,A,3555.6359140942523
2021-11-07T21:46:19.764,A,3555.000888824441
2021-11-10T01:34:17.273,B,3554.998042394927
2020-10-27T04:23:25.024,A,3554.7128484258656
2022-02-12T05:35:29.491,A,3554.59918383813
2020-02-24T18:48:26.496,B,3553.504438476562
2021-06-28T05:21:15.715,A,3553.04993494915
2021-11-08T04:35:19.335,B,3552.2863501925167
2021-09-26T11:46:48.651,A,3551.985105034256
2021-11-15T01:00:43.858,B,3551.27970057832
2020-10-04T05:58:31.438,B,3549.7345754548733
2021-08-30T15:28:07.145,A,3549.3055946562877
2021-09-06T10:28:19.065,A,3547.60090756499
2021-04-26T07:43:18.425,A,3546.5319971187705
2020-10-23T20:52:14.324,A,3546.3486429248373
2021-04-17T16:57:00.774,A,3546.1383079551547
2021-08-30T09:11:22.306,A,3546.1127417543053
2021-02-26T21:48:39.133,A,3545.5908447562415
2021-11-07T21:43:22.876,A,3545.4660881068553
2020-10-01T00:29:58.106,A,3544.3095506074574
2022-08-16T05:05:37.404,A,3544.292645348995
2020-02-24T18:48:23.684,B,3544.0201904296873
2021-04-22T11:58:49.585,A,3543.5551504594287
2021-10-14T08:49:53.210,A,3543.4542965846185
2021-08-30T09:11:29.302,B,3542.9257543373997
2021-04-26T06:01:38.932,B,3542.7371209913113
2022-08-27T04:02:35.334,A,3542.661428744963
2022-08-23T21:31:12.553,A,3542.3002805551514
2021-11-10T04:00:07.875,A,3541.474051048883
2021-11-13T20:25:44.671,A,3541.097268261859
2021-11-12T00:56:19.002,A,3539.182322657714
2021-11-20T19:50:59.148,A,3539.170819628725
2021-11-20T19:51:53.411,A,3538.462641211161
2021-11-14T22:43:07.319,A,3538.1487691634698
2020-10-25T19:14:04.913,B,3537.5400364785946
2021-04-29T05:43:48.381,A,3536.525795564341
2021-12-26T20:49:28.532,B,3536.3465249742103
2021-11-20T21:23:16.407,A,3535.7339884992134
2021-11-06T01:24:11.561,B,3535.3442779427824
2021-11-20T22:55:24.240,A,3535.0175079232054
2021-11-08T00:47:48.675,A,3533.7013977240504
2021-11-06T19:17:11.420,B,3533.2599815494714
2021-11-18T21:19:43.759,A,3532.8192690590167
2021-11-08T03:54:12.128,A,3532.0935534888617
