start_time,sat,supra_MeV_flux
2021-03-11T05:50:07.947,A,846.0987101231837
2021-11-07T02:12:02.599,B,846.0575143858306
2020-10-28T06:51:20.183,A,846.0113954792367
2021-11-12T01:38:56.409,B,845.9485412455424
2022-01-20T16:47:33.391,B,845.9104194704398
2020-10-03T07:02:59.041,A,845.9073032620925
2021-03-29T08:16:36.877,B,845.878990994635
2021-10-17T23:09:48.419,A,845.8308578048966
2020-09-30T04:16:12.508,A,845.8037625213135
2021-04-04T04:20:52.274,B,845.8017548939745
2022-02-04T10:11:40.547,A,845.7863280356733
2022-08-27T15:53:14.603,B,845.7490072838175
2020-02-19T15:36:46.046,B,845.7395727539063
2022-04-04T14:21:08.288,A,845.7000810376525
2021-03-28T08:55:27.384,B,845.691135621985
2021-11-24T21:30:05.796,A,845.6535638759774
2021-03-05T03:38:57.969,B,845.6507425252497
2020-09-13T10:41:17.842,B,845.6488198464074
2021-11-11T02:23:50.558,B,845.6067486059641
2020-06-01T20:22:35.579,A,845.5566141496438
2021-04-30T07:12:38.534,B,845.5192541095422
2021-12-01T22:26:55.870,A,845.5140689214925
2022-04-03T15:13:06.394,A,845.5063894822575
2020-10-06T03:36:03.143,A,845.5032788776913
2020-10-28T22:24:23.595,A,845.4669411168728
2021-11-08T20:55:07.018,B,845.4060323666419
2022-08-25T00:44:23.243,A,845.3633641056574
2020-12-27T19:14:37.539,A,845.3590486478638
2020-12-25T14:18:03.841,A,845.3267444886882
2020-02-19T21:47:48.508,B,845.2957324218748
2022-08-27T19:07:16.824,A,845.2806448602956
2021-11-09T20:11:28.269,B,845.2787102099888
2020-10-18T02:16:46.389,A,845.261911629006
2021-11-05T01:28:05.505,A,845.2468160040647
2021-10-12T12:27:36.338,A,845.2123146492169
2021-04-26T10:42:16.453,B,845.1825892362087
2022-02-05T04:58:51.022,B,845.1219534212529
2021-04-19T03:55:59.121,A,844.9890625010266
2021-11-08T02:22:01.952,A,844.9866500034493
2021-11-10T03:06:43.446,B,844.9706398617803
2021-07-24T02:43:04.647,A,844.9112925494637
2021-11-07T19:27:16.918,A,844.8993426880628
2020-10-07T23:11:15.791,A,844.8875875992583
2020-06-02T19:46:31.266,A,844.8771166992186
2021-07-20T18:45:30.222,A,844.8636115597598
2021-12-06T01:35:15.287,A,844.8511302216634
2021-11-11T21:50:38.321,A,844.8255337306692
2021-05-24T18:08:41.463,A,844.8158724433869
2021-04-24T06:34:07.792,B,844.7456964799337
2022-08-22T04:46:28.309,A,844.7279315395899
2021-03-28T05:50:31.967,B,844.6415422794349
2021-04-21T10:55:37.074,B,844.6320310239645
2021-11-06T19:15:47.283,B,844.6186560420178
2021-11-08T00:49:33.688,A,844.6128296776106
2020-10-17T04:28:03.785,A,844.608900530941
2021-11-08T00:48:56.288,A,844.5886244393672
